0-HSD-multi: h:0.452548412927717, c:0.6232256952174642, v:0.5243476248981701, s:0.3054404914536564, a:0.703125, M:0.655631423228293, m:0.703125
2-HSD-single: h:0.35297322181361174, c:0.5783225678771085, v:0.4383835560963842, s:0.12409010798339772, a:0.8072916666666666, M:0.734026432690687, m:0.8072916666666666

2-graphwave: h:0.33672796325549287, c:0.6994719479184994, v:0.45460680287087857, s:0.22187054980003326, a:0.78125, M:0.691715053051967, m:0.78125

3-HSD-multi: h:0.5464882988992211, c:0.6625406148389854, v:0.5989446396869234, s:0.3305481449679592, a:0.7552083333333334, M:0.6686599873049454, m:0.7552083333333334

3-HSD-single: h:0.34974891297059835, c:0.658099713568819, v:0.4567544239997127, s:0.06178372032012384, a:0.8229166666666666, M:0.7731394593593511, m:0.8229166666666666

3-graphwave: h:0.20101102882259145, c:0.7141082601588575, v:0.31371568230194435, s:0.1388516680334471, a:0.7864583333333334, M:0.7158745605884272, m:0.7864583333333334

4-HSD-multi: h:0.5012976821193545, c:0.6553763638303016, v:0.5680747367927723, s:0.16580586708165715, a:0.75, M:0.6344635990638985, m:0.75

4-HSD-single: h:0.6107534872918389, c:0.6800525725140442, v:0.6435428111752124, s:0.3087532578092836, a:0.8072916666666666, M:0.7024609942124317, m:0.8072916666666666

4-graphwave: h:0.3438166950140411, c:0.6820911601708383, v:0.45718399991384917, s:0.09506114106177678, a:0.78125, M:0.6784234179848552, m:0.78125

5-HSD-multi: h:0.30207529452165055, c:0.5338252594010761, v:0.3858244182275863, s:-0.017814711751196782, a:0.75, M:0.6730409083522257, m:0.75

5-HSD-single: h:0.3967602358414866, c:0.6579958353502463, v:0.49502740955320496, s:0.16758964967045353, a:0.8385416666666666, M:0.7879337329909033, m:0.8385416666666666

5-graphwave: h:0.18496007809055398, c:0.6570859337308531, v:0.2886651415928562, s:-0.02762946464334845, a:0.8177083333333334, M:0.7612141127302792, m:0.8177083333333333

6-HSD-multi: h:0.4031820902954457, c:0.613585354967798, v:0.4866139787285199, s:0.10233476757148204, a:0.78125, M:0.6580436027397857, m:0.78125

6-HSD-single: h:0.583928896942639, c:0.6653797149347773, v:0.6219991430395992, s:0.2602851348524439, a:0.8385416666666666, M:0.7811916939443536, m:0.8385416666666666

6-graphwave: h:0.33417623399002666, c:0.7077457033023037, v:0.45399138896492763, s:0.12019133862477581, a:0.8489583333333334, M:0.8030817951677086, m:0.8489583333333334

7-HSD-multi: h:0.45700426887638, c:0.6414178615542745, v:0.5337305080496432, s:0.13614442025869533, a:0.6875, M:0.5869801456118592, m:0.6875

7-HSD-single: h:0.33771295481097324, c:0.5911980390136772, v:0.42986946642048385, s:0.03575593519012129, a:0.78125, M:0.7347042170184288, m:0.78125

7-graphwave: h:0.4388364176946651, c:0.6590284446650142, v:0.5268511484994278, s:0.13972613099392914, a:0.7760416666666666, M:0.7447648129583869, m:0.7760416666666666

8-HSD-multi: h:0.4108708635105939, c:0.6248563763643684, v:0.4957584758665283, s:0.17158495553639472, a:0.7291666666666666, M:0.6484267104409231, m:0.7291666666666665

8-HSD-single: h:0.3637006659849997, c:0.705600066058324, v:0.4799907196436385, s:-0.017816231185122555, a:0.8177083333333334, M:0.770578035710863, m:0.8177083333333333

8-graphwave: h:0.44358298042866473, c:0.6429137922763501, v:0.5249635770691186, s:0.27588114879104575, a:0.8072916666666666, M:0.7583833540308874, m:0.8072916666666666

9-HSD-multi: h:0.3759895490252432, c:0.594725619467814, v:0.4607131416409119, s:0.04385887763934604, a:0.765625, M:0.6456424031384626, m:0.765625

9-HSD-single: h:0.5212182060262479, c:0.6946635302274559, v:0.595569895033715, s:0.24475097464734383, a:0.8020833333333334, M:0.6791875524723912, m:0.8020833333333334

9-graphwave: h:0.33428804333289935, c:0.6897900165898009, v:0.4503339422656474, s:0.12236274651860228, a:0.7708333333333334, M:0.6814568079965145, m:0.7708333333333333

--------------------------------------------------------------------------------
0-HSD-multi: h:0.4141586988250248, c:0.6240827291715234, v:0.4978982423608468, s:0.10738614587422418, a:0.75, M:0.6574414987105393, m:0.75

0-HSD-single: h:0.5337093312392153, c:0.6696341824040545, v:0.5939949941372012, s:0.22659462682740128, a:0.8177083333333334, M:0.7604642511958041, m:0.8177083333333333

0-graphwave: h:0.35229131960083465, c:0.7110125935567553, v:0.4711419975744933, s:0.18955355606871563, a:0.7916666666666666, M:0.714007484085252, m:0.7916666666666666

1-HSD-multi: h:0.35776120035659353, c:0.5619062871243368, v:0.43717598046258616, s:0.1987385193849841, a:0.7760416666666666, M:0.6622330284094989, m:0.7760416666666666

1-HSD-single: h:0.5483681915886764, c:0.7277097246132318, v:0.6254365201701544, s:0.23670064067633953, a:0.8645833333333334, M:0.7969499116286864, m:0.8645833333333333

1-graphwave: h:0.3570087807177541, c:0.7026101949374117, v:0.47344944697573943, s:0.10612890460651708, a:0.8697916666666666, M:0.8094972937340805, m:0.8697916666666666

2-HSD-multi: h:0.37796332232392266, c:0.5924398562393238, v:0.4615000059518618, s:0.008099672665963018, a:0.7708333333333334, M:0.7071215586537335, m:0.7708333333333333

2-HSD-single: h:0.364076827689057, c:0.5860213623012953, v:0.4491257867712424, s:0.15092419526794879, a:0.796875, M:0.7418271271980114, m:0.796875

2-graphwave: h:0.33735570638136547, c:0.7329426901644254, v:0.46204385576111495, s:0.10977171702873724, a:0.8072916666666666, M:0.751745715820615, m:0.8072916666666666

3-HSD-multi: h:0.44478129004895484, c:0.6068963755937081, v:0.5133438917287475, s:0.19120598788216062, a:0.78125, M:0.7150107057471233, m:0.78125

3-HSD-single: h:0.5085030899474521, c:0.6702467054565525, v:0.5782779722730611, s:0.2577943990192597, a:0.8802083333333334, M:0.8387230788620097, m:0.8802083333333334

3-graphwave: h:0.4218073157503576, c:0.7417236154090201, v:0.5377844952219392, s:0.2021123093865531, a:0.828125, M:0.8040387438884883, m:0.828125

4-HSD-multi: h:0.3527464379507539, c:0.5847230645569489, v:0.4400334680933638, s:0.012885410024357696, a:0.7239583333333334, M:0.5687635460799791, m:0.7239583333333333

4-HSD-single: h:0.42277540021011106, c:0.6512119547167272, v:0.5126995090100069, s:-0.008212188530883485, a:0.8072916666666666, M:0.6981851316113907, m:0.8072916666666666

4-graphwave: h:0.1954805909157814, c:0.6776029842514795, v:0.30342623669767343, s:0.12457620162084404, a:0.796875, M:0.724081483268665, m:0.796875

5-HSD-multi: h:0.47006008210522476, c:0.6422210546575144, v:0.5428168683335495, s:0.18883403633040183, a:0.7395833333333334, M:0.597695136730397, m:0.7395833333333334

5-HSD-single: h:0.46760963197096833, c:0.6890833532515537, v:0.5571435416793704, s:0.04190336929550873, a:0.8229166666666666, M:0.7398797650670215, m:0.8229166666666666

5-graphwave: h:0.2210597639195718, c:0.6322212878287179, v:0.3275794964531138, s:-0.07632080218624328, a:0.8072916666666666, M:0.740689159091937, m:0.8072916666666666

6-HSD-multi: h:0.5291566320610022, c:0.6544172577181518, v:0.5851586200864047, s:0.3206008359019194, a:0.6770833333333334, M:0.5750718415285637, m:0.6770833333333334

6-HSD-single: h:0.4037612194617473, c:0.730707834893417, v:0.5201225813153907, s:0.10557124322642392, a:0.8125, M:0.7753475917788228, m:0.8125

6-graphwave: h:0.18774043404722696, c:0.6847492171184707, v:0.29468570787874293, s:0.07057380656948821, a:0.7708333333333334, M:0.6805649386272411, m:0.7708333333333333

7-HSD-multi: h:0.3941252078667788, c:0.6032599191628203, v:0.47676656608232504, s:0.13204249841178634, a:0.7708333333333334, M:0.6525864668956775, m:0.7708333333333333

7-HSD-single: h:0.4887722411585781, c:0.6698738340482425, v:0.5651695408415457, s:0.1337465704981766, a:0.8489583333333334, M:0.7449794952823847, m:0.8489583333333334

7-graphwave: h:0.3377640402108887, c:0.6789037388049587, v:0.45109970919903886, s:0.14468145851314015, a:0.8489583333333334, M:0.7498543670240497, m:0.8489583333333334

8-HSD-multi: h:0.4590521429680205, c:0.6196155930650132, v:0.527383653577981, s:0.2059951938453952, a:0.7083333333333334, M:0.6141339278470791, m:0.7083333333333334

8-HSD-single: h:0.3725278671051188, c:0.6350312197459655, v:0.46958402524355525, s:-0.018898426709111404, a:0.7447916666666666, M:0.6599995733060249, m:0.7447916666666666

8-graphwave: h:0.33779536132437016, c:0.697382205633719, v:0.4551344265032085, s:0.17829257124077005, a:0.734375, M:0.6701959784903897, m:0.734375

9-HSD-multi: h:0.3665757291773212, c:0.5850540991706101, v:0.4507354154376815, s:0.0027265806819872737, a:0.734375, M:0.6334576972734868, m:0.734375

9-HSD-single: h:0.3631307495918572, c:0.5958390188193015, v:0.4512498238571417, s:0.06788215963486298, a:0.796875, M:0.7098105020592037, m:0.796875

9-graphwave: h:0.39481352465899944, c:0.683688557383935, v:0.5005636866244496, s:0.21055201040352223, a:0.8177083333333334, M:0.7697941005390029, m:0.8177083333333333

--------------------------------------------------------------------------------
0-HSD-multi: h:0.48469164594968317, c:0.6526608042892684, v:0.5562730170605399, s:0.2001082060888045, a:0.7135416666666666, M:0.640744701770465, m:0.7135416666666666

0-HSD-single: h:0.5332042247731215, c:0.6986061098394705, v:0.6048004611616987, s:0.1884337681090361, a:0.7760416666666666, M:0.7231233622471024, m:0.7760416666666666

0-graphwave: h:0.3410271492211574, c:0.7253053936199265, v:0.4639243777403791, s:0.2266224705033885, a:0.796875, M:0.7478803282719398, m:0.796875

1-HSD-multi: h:0.49820703727499993, c:0.6691122533593902, v:0.5711486754740691, s:0.26399771451490217, a:0.7760416666666666, M:0.6909058087683849, m:0.7760416666666666

1-HSD-single: h:0.5385270221036844, c:0.6538410489271025, v:0.5906080203966992, s:0.24986389043852397, a:0.8072916666666666, M:0.7371007340735855, m:0.8072916666666666

1-graphwave: h:0.4169831373000543, c:0.7537680049188573, v:0.5369348551593337, s:0.19412262011324452, a:0.8489583333333334, M:0.7893001715383098, m:0.8489583333333334

2-HSD-multi: h:0.48111769051875464, c:0.6643797000239909, v:0.5580891402146892, s:0.2609811184867308, a:0.765625, M:0.644487655282085, m:0.765625

2-HSD-single: h:0.5451514587934614, c:0.7049541244888299, v:0.6148388975889745, s:0.11945887883642053, a:0.8020833333333334, M:0.7194978590953824, m:0.8020833333333334

2-graphwave: h:0.36575360717651617, c:0.6694186977133955, v:0.4730464720578449, s:0.05755869487535361, a:0.8072916666666666, M:0.7161814484392455, m:0.8072916666666666

3-HSD-multi: h:0.45290694229788186, c:0.6523964577580224, v:0.5346493728947375, s:0.21071176818088486, a:0.6875, M:0.5770948545791483, m:0.6875

3-HSD-single: h:0.44993620317184163, c:0.6532404692252113, v:0.5328548796136945, s:0.1298136391235584, a:0.796875, M:0.6986535731953648, m:0.796875

3-graphwave: h:0.3535955523896937, c:0.7210353002205462, v:0.47449759078603854, s:0.22810579733637745, a:0.7760416666666666, M:0.7110412635411388, m:0.7760416666666666

4-HSD-multi: h:0.4782058784746963, c:0.6452598172300144, v:0.5493127897409412, s:0.24105734020686573, a:0.7864583333333334, M:0.6640626540877338, m:0.7864583333333334

4-HSD-single: h:0.5542576105332233, c:0.6471872432719301, v:0.5971284556047681, s:0.3628232969996155, a:0.7916666666666666, M:0.7237722561924499, m:0.7916666666666666

4-graphwave: h:0.46919760827948614, c:0.7294634363612185, v:0.5710747023911352, s:0.2014676152242154, a:0.8177083333333334, M:0.7502129259668345, m:0.8177083333333333

5-HSD-multi: h:0.5491461069187629, c:0.7167558326161332, v:0.6218549206695735, s:0.2163678926719302, a:0.765625, M:0.6904668279895141, m:0.765625

5-HSD-single: h:0.5233929823497446, c:0.716976028539007, v:0.6050783574178854, s:0.2485789661482892, a:0.7916666666666666, M:0.7251696238736923, m:0.7916666666666666

5-graphwave: h:0.4497345096764106, c:0.7607563394120052, v:0.5652886670664768, s:0.2044644862733186, a:0.796875, M:0.6988392695709607, m:0.796875

6-HSD-multi: h:0.3621812657197483, c:0.5719206902534262, v:0.4435039626300635, s:0.019777287128563276, a:0.7239583333333334, M:0.6108844390527047, m:0.7239583333333333

6-HSD-single: h:0.38928781251263816, c:0.6404007783073751, v:0.48422449338811013, s:0.019823002541420314, a:0.7760416666666666, M:0.6715270456724468, m:0.7760416666666666

6-graphwave: h:0.1860776036922616, c:0.7074517345153878, v:0.2946538358787836, s:0.1759227370489093, a:0.7864583333333334, M:0.6965754530285597, m:0.7864583333333334

7-HSD-multi: h:0.45538223040284687, c:0.6363448717698957, v:0.5308655366991836, s:0.1560849675920962, a:0.703125, M:0.5662283959304083, m:0.703125

7-HSD-single: h:0.5671503854487421, c:0.7105052105453741, v:0.6307854875563889, s:0.19653784469993107, a:0.8072916666666666, M:0.7281636888013376, m:0.8072916666666666

7-graphwave: h:0.37612293332798213, c:0.7349088417291314, v:0.4975844534520559, s:0.052741171396816645, a:0.796875, M:0.6997889345356388, m:0.796875

8-HSD-multi: h:0.42237916218382043, c:0.6403144397174538, v:0.5089999151179349, s:0.11958845368342168, a:0.765625, M:0.6650091027770084, m:0.765625

8-HSD-single: h:0.39516320641488123, c:0.6427768196351251, v:0.4894343462652791, s:0.051766716517152624, a:0.828125, M:0.7345959763188047, m:0.828125

8-graphwave: h:0.3268737137935822, c:0.6924385075076268, v:0.44410327236882846, s:0.26767316136409947, a:0.8020833333333334, M:0.7432690999944777, m:0.8020833333333334

9-HSD-multi: h:0.4964775407262356, c:0.6589303488860212, v:0.5662833395305937, s:0.20930842514323614, a:0.828125, M:0.7321271339678036, m:0.828125

9-HSD-single: h:0.5748880869585152, c:0.6491175438528024, v:0.6097520037540946, s:0.24485950362839282, a:0.84375, M:0.7844212660626324, m:0.84375

9-graphwave: h:0.5219126969835337, c:0.6886425455611158, v:0.5937957650836436, s:0.18214230077193047, a:0.78125, M:0.6801212860875787, m:0.78125

--------------------------------------------------------------------------------
0-HSD-multi: h:0.5169552605672554, c:0.690595791055267, v:0.5912911534993637, s:0.22374507265363, a:0.7239583333333334, M:0.6277781810756828, m:0.7239583333333333

0-HSD-single: h:0.4242038842535611, c:0.6573563856603302, v:0.5156497328774751, s:0.009654064299475481, a:0.8177083333333334, M:0.7652877515958635, m:0.8177083333333333

0-graphwave: h:0.36599111627208836, c:0.7235649583125705, v:0.48610319921190676, s:0.2429218844760045, a:0.7552083333333334, M:0.6947142838156367, m:0.7552083333333334

