7-node2vec, h:0.18157799202419403, c:0.33152861965900865, v:0.2346424687795782, s:0.10325509309768677, a:0.3177083333333333, M:0.146704373387472, m:0.3177083333333333
8-HSD-multi, h:0.43597765010280287, c:0.6267585247192612, v:0.5142437328526136, s:0.1101822273057043, a:0.734375, M:0.5732993729236558, m:0.734375
8-HSD-single, h:0.5001263903042131, c:0.6621690665761014, v:0.5698520510898242, s:0.15706036455982764, a:0.7708333333333334, M:0.6539641262174469, m:0.7708333333333333
8-graphwave, h:0.38887809547986624, c:0.6589267197750208, v:0.48910286365609534, s:0.13950514294871885, a:0.7760416666666666, M:0.7254768129267826, m:0.7760416666666666
8-struc2vec, h:0.4685854503052044, c:0.551553870230346, v:0.506695729586787, s:0.43320974707603455, a:0.5885416666666666, M:0.5211928424963772, m:0.5885416666666666
8-node2vec, h:0.1494386396634408, c:0.1836407095966872, v:0.16478366425248112, s:0.060273874551057816, a:0.3177083333333333, M:0.1504190947940948, m:0.3177083333333333
9-HSD-multi, h:0.35974297188505816, c:0.5684488259099099, v:0.4406319264686604, s:0.16981143837813484, a:0.78125, M:0.720985703085889, m:0.78125
9-HSD-single, h:0.47364360204220585, c:0.680161871827297, v:0.5584205071651207, s:0.16642904777711692, a:0.828125, M:0.7965753838192169, m:0.828125
9-graphwave, h:0.1735631409901403, c:0.6875615592027327, v:0.27716158603411584, s:0.13044447509861143, a:0.8229166666666666, M:0.794294176979599, m:0.8229166666666666
9-struc2vec, h:0.4763350214768158, c:0.5765774484519536, v:0.5216844498194403, s:0.44632259011268616, a:0.5833333333333334, M:0.5533420980382541, m:0.5833333333333334
9-node2vec, h:0.17073174583230713, c:0.22709710763297897, v:0.19492143579791457, s:0.142423614859581, a:0.2604166666666667, M:0.11770905596938416, m:0.2604166666666667
0-HSD-multi, h:0.4247154104563149, c:0.5974173802668501, v:0.4964763290575081, s:0.12601007522566818, a:0.734375, M:0.652551616298745, m:0.734375
