0-node2vec: h:0.23698425154744276, c:0.2690368034355606, v:0.251995385856165, s:0.1809908151626587, a:0.3333333333333333, M:0.1310332847386482, m:0.3333333333333333
8-node2vec: h:0.21471417780266988, c:0.2969998729711011, v:0.24924108859649097, s:0.1283077746629715, a:0.3333333333333333, M:0.12982589151288337, m:0.3333333333333333

9-node2vec: h:0.21832720046601767, c:0.2781112859323757, v:0.2446194650061533, s:0.09753242880105972, a:0.3125, M:0.14306742234373812, m:0.3125

--------------------------------------------------------------------------------
0-node2vec: h:0.2051187552508077, c:0.2819351295946299, v:0.23746934227730288, s:0.09219208359718323, a:0.4166666666666667, M:0.18657494557105236, m:0.4166666666666667

1-node2vec: h:0.2173340615820205, c:0.36896859618283573, v:0.27354282823938014, s:0.07556190341711044, a:0.3489583333333333, M:0.15099427605292257, m:0.3489583333333333

2-node2vec: h:0.24380934196498733, c:0.3525360269741399, v:0.28826106894540066, s:0.14149315655231476, a:0.3645833333333333, M:0.16742854174796098, m:0.36458333333333326

3-node2vec: h:0.2449967882414987, c:0.2830057784981686, v:0.2626332186753263, s:0.118982695043087, a:0.375, M:0.15351612076009666, m:0.375

4-node2vec: h:0.16870412907468407, c:0.3380314524989207, v:0.22507715608440051, s:0.04344053938984871, a:0.3645833333333333, M:0.1574038935150046, m:0.36458333333333326

5-node2vec: h:0.3400808568370023, c:0.40621817434060037, v:0.37021895787410775, s:0.16376365721225739, a:0.3177083333333333, M:0.1490093757174503, m:0.3177083333333333

6-node2vec: h:0.21042646613781102, c:0.2535143806487909, v:0.2299695558368391, s:0.09783049672842026, a:0.2916666666666667, M:0.14052371819238388, m:0.2916666666666667

7-node2vec: h:0.24951501548689747, c:0.32740228513897157, v:0.28320102780163725, s:0.05771050229668617, a:0.3697916666666667, M:0.17062491263055493, m:0.3697916666666667

8-node2vec: h:0.2344986526423094, c:0.2809701910438436, v:0.25563962609755503, s:0.1875140219926834, a:0.3645833333333333, M:0.1713746208137975, m:0.36458333333333326

9-node2vec: h:0.16357532802138922, c:0.2773194286606727, v:0.20577525961637, s:0.010967220179736614, a:0.3072916666666667, M:0.16455800635492435, m:0.3072916666666667

--------------------------------------------------------------------------------
0-node2vec: h:0.21996097601821757, c:0.2660325865978395, v:0.24081301441822178, s:0.15477968752384186, a:0.2708333333333333, M:0.11367581690074242, m:0.2708333333333333

1-node2vec: h:0.19790199172671624, c:0.3606143127006605, v:0.25555669606383447, s:0.008103106170892715, a:0.3489583333333333, M:0.13393383943095163, m:0.3489583333333333

2-node2vec: h:0.21642902568129066, c:0.3465324156076605, v:0.2664469271829044, s:0.07290168851613998, a:0.2916666666666667, M:0.12920867624842658, m:0.2916666666666667

3-node2vec: h:0.2152064646062504, c:0.3324359433432207, v:0.26127401032660436, s:0.15004156529903412, a:0.2864583333333333, M:0.11634340241562431, m:0.2864583333333333

4-node2vec: h:0.2007542257104669, c:0.24450021823957654, v:0.220478212696889, s:0.11719294637441635, a:0.3229166666666667, M:0.11633266419425449, m:0.3229166666666667

5-node2vec: h:0.23726005092163147, c:0.2481325911150939, v:0.2425745514239963, s:0.2149893045425415, a:0.3645833333333333, M:0.1321579145640792, m:0.36458333333333326

6-node2vec: h:0.2775866486218635, c:0.33181912281358067, v:0.30228974705476896, s:0.20594115555286407, a:0.375, M:0.15638950396553405, m:0.375

7-node2vec: h:0.190139425641494, c:0.2165286932455296, v:0.20247784105272262, s:0.13033346831798553, a:0.3333333333333333, M:0.12903883058522234, m:0.3333333333333333

8-node2vec: h:0.2246551291625131, c:0.25421678916372265, v:0.23852351085639573, s:0.22081957757472992, a:0.3489583333333333, M:0.1415822968615434, m:0.3489583333333333

9-node2vec: h:0.18331683585216035, c:0.26315739067032135, v:0.21609838742333318, s:0.0969572439789772, a:0.2604166666666667, M:0.10711219313453435, m:0.2604166666666667

--------------------------------------------------------------------------------
0-node2vec: h:0.2747791231027636, c:0.3220694148163966, v:0.29655078553097247, s:0.1616964191198349, a:0.28125, M:0.12046262454403615, m:0.28125

1-node2vec: h:0.2318847694840594, c:0.32589522429099715, v:0.27096754922748234, s:0.09148550033569336, a:0.328125, M:0.13341722931983122, m:0.328125

2-node2vec: h:0.18771184333771307, c:0.2267530071865465, v:0.2053936535632228, s:0.0893653854727745, a:0.2604166666666667, M:0.10542456044704922, m:0.2604166666666667

