0-struc2vec: h:0.48642319340636303, c:0.6163785501970407, v:0.5437438315147463, s:0.4720359742641449, a:0.6302083333333334, M:0.5235142978511238, m:0.6302083333333334
7-struc2vec: h:0.5061243773694477, c:0.5979757586601991, v:0.5482294561111978, s:0.4629640281200409, a:0.5833333333333334, M:0.43853219456194287, m:0.5833333333333334

8-struc2vec: h:0.4755886543841329, c:0.5739062573254522, v:0.5201422162579751, s:0.3977449834346771, a:0.515625, M:0.47425497976968556, m:0.515625

9-struc2vec: h:0.462799495745107, c:0.5525952128898535, v:0.5037268437618466, s:0.37518104910850525, a:0.5625, M:0.46817411415907767, m:0.5625

--------------------------------------------------------------------------------
0-struc2vec: h:0.48620516566605765, c:0.5954051574867518, v:0.5352927150148371, s:0.5065944194793701, a:0.5729166666666666, M:0.4666783915283279, m:0.5729166666666666

1-struc2vec: h:0.48804680990682336, c:0.60951561094857, v:0.5420596475597641, s:0.4483271539211273, a:0.578125, M:0.47535750035750035, m:0.578125

2-struc2vec: h:0.4832933804636167, c:0.5804634789280871, v:0.5274403722806481, s:0.46643972396850586, a:0.5520833333333334, M:0.428049803780798, m:0.5520833333333334

3-struc2vec: h:0.46913057002410147, c:0.5880983905673967, v:0.521920877087555, s:0.3723877966403961, a:0.5208333333333334, M:0.450488486748148, m:0.5208333333333334

4-struc2vec: h:0.47768914650651734, c:0.573244536387321, v:0.5211226888691229, s:0.4269784390926361, a:0.5572916666666666, M:0.45815697995744414, m:0.5572916666666666

5-struc2vec: h:0.49455477356864574, c:0.6024565871007564, v:0.5431990801567349, s:0.4049915075302124, a:0.6302083333333334, M:0.5065026593064589, m:0.6302083333333334

6-struc2vec: h:0.4816892602907073, c:0.6132353142480593, v:0.539560206745234, s:0.4684705436229706, a:0.515625, M:0.4307220253604847, m:0.515625

7-struc2vec: h:0.4399707616617006, c:0.5519573177862425, v:0.4896425185308147, s:0.4650791585445404, a:0.6197916666666666, M:0.46691916489644963, m:0.6197916666666666

8-struc2vec: h:0.4730677821053501, c:0.5847412452700391, v:0.5230098001560197, s:0.39073845744132996, a:0.5625, M:0.4507664711183619, m:0.5625

9-struc2vec: h:0.4812759641548904, c:0.5866101085100444, v:0.5287480617696173, s:0.5587909817695618, a:0.5260416666666666, M:0.3777473451560702, m:0.5260416666666666

--------------------------------------------------------------------------------
0-struc2vec: h:0.46520234007680533, c:0.5713524123497691, v:0.5128421409702008, s:0.4546075761318207, a:0.5833333333333334, M:0.4839819768884719, m:0.5833333333333334

1-struc2vec: h:0.48232114221923134, c:0.5758888749517351, v:0.5249683436198147, s:0.370388001203537, a:0.5885416666666666, M:0.4660353677269491, m:0.5885416666666666

2-struc2vec: h:0.4794705520659488, c:0.5993859836446584, v:0.5327639384219018, s:0.4181051552295685, a:0.578125, M:0.46436538837195024, m:0.578125

3-struc2vec: h:0.45954010428117303, c:0.5664256777685648, v:0.5074151976282606, s:0.4756947457790375, a:0.5625, M:0.44648978427841174, m:0.5625

4-struc2vec: h:0.46401112761550195, c:0.5728989126657326, v:0.5127377692352593, s:0.5277757048606873, a:0.5729166666666666, M:0.5008085578298827, m:0.5729166666666666

5-struc2vec: h:0.4424888566875434, c:0.5576212052207576, v:0.49342803149497055, s:0.3662704527378082, a:0.5625, M:0.467867641898277, m:0.5625

6-struc2vec: h:0.4612552509085792, c:0.5777219642437864, v:0.5129607958411024, s:0.4285984933376312, a:0.5572916666666666, M:0.43235446507231123, m:0.5572916666666666

7-struc2vec: h:0.496767181806459, c:0.6067844633259888, v:0.5462918009138006, s:0.33014118671417236, a:0.5833333333333334, M:0.48663669946873883, m:0.5833333333333334

8-struc2vec: h:0.486522421406011, c:0.5884768156839676, v:0.5326648716196224, s:0.37972211837768555, a:0.5572916666666666, M:0.4679813671880235, m:0.5572916666666666

9-struc2vec: h:0.47071689440434245, c:0.58603618552329, v:0.5220843705077843, s:0.4619969427585602, a:0.5885416666666666, M:0.4684706119834203, m:0.5885416666666666

--------------------------------------------------------------------------------
0-struc2vec: h:0.49318647803564414, c:0.5924915921580488, v:0.5382974007203206, s:0.4280417263507843, a:0.5989583333333334, M:0.48094648704951665, m:0.5989583333333334

1-struc2vec: h:0.4989387372934577, c:0.5880792573825259, v:0.5398540291770838, s:0.3927501142024994, a:0.59375, M:0.45606406156163687, m:0.59375

2-struc2vec: h:0.48090455128576437, c:0.5684650439133524, v:0.5210317282213994, s:0.38431811332702637, a:0.5260416666666666, M:0.46577112708178875, m:0.5260416666666666

3-struc2vec: h:0.451094547897736, c:0.5445435302719994, v:0.49343355378741977, s:0.41679254174232483, a:0.5989583333333334, M:0.5004265978498436, m:0.5989583333333334

4-struc2vec: h:0.49569126968579275, c:0.5923424879756953, v:0.5397240625779652, s:0.3951723575592041, a:0.5520833333333334, M:0.4563564435178213, m:0.5520833333333334

5-struc2vec: h:0.4944494658311489, c:0.5995617954209818, v:0.5419560473982125, s:0.4594353139400482, a:0.5989583333333334, M:0.45462898063068563, m:0.5989583333333334

6-struc2vec: h:0.48442235026437613, c:0.5781704944551761, v:0.5271609180681306, s:0.38171815872192383, a:0.6614583333333334, M:0.5654621748299834, m:0.6614583333333334

7-struc2vec: h:0.4777792000153835, c:0.5699826205838103, v:0.5198239430588664, s:0.46957722306251526, a:0.59375, M:0.517040047666646, m:0.59375

8-struc2vec: h:0.5007902237590229, c:0.6083221909942889, v:0.5493434246940014, s:0.37873268127441406, a:0.6145833333333334, M:0.5052083119572616, m:0.6145833333333334

9-struc2vec: h:0.4468595621932439, c:0.5646116948173159, v:0.4988814719282076, s:0.5009862780570984, a:0.5625, M:0.5002699083222557, m:0.5625

--------------------------------------------------------------------------------
0-struc2vec: h:0.46826069356716854, c:0.5697280612563733, v:0.514034965925889, s:0.4282538890838623, a:0.6302083333333334, M:0.5493655026539754, m:0.6302083333333334

1-struc2vec: h:0.48970486764532106, c:0.5702246532356506, v:0.5269063326187361, s:0.3699638843536377, a:0.5572916666666666, M:0.47498091965003736, m:0.5572916666666666

2-struc2vec: h:0.47106895267197324, c:0.5665563470988432, v:0.5144190395443504, s:0.39125171303749084, a:0.5833333333333334, M:0.4659763547122746, m:0.5833333333333334

3-struc2vec: h:0.4635344635180094, c:0.5817676938019559, v:0.5159644490354837, s:0.4949014186859131, a:0.5520833333333334, M:0.4739951537983526, m:0.5520833333333334

4-struc2vec: h:0.45724417059632944, c:0.6003083236750756, v:0.5190994925504657, s:0.49733325839042664, a:0.5520833333333334, M:0.5078278486208722, m:0.5520833333333334

5-struc2vec: h:0.4774167335203303, c:0.576365763610997, v:0.5222456454252923, s:0.585746705532074, a:0.53125, M:0.43905055193124887, m:0.53125

6-struc2vec: h:0.4659524834578812, c:0.5682407897084333, v:0.5120381538666852, s:0.35660362243652344, a:0.5677083333333334, M:0.46632033329014755, m:0.5677083333333334

7-struc2vec: h:0.45728871193782655, c:0.5597968269417247, v:0.5033770713544268, s:0.33967217803001404, a:0.6041666666666666, M:0.5081417163639649, m:0.6041666666666666

8-struc2vec: h:0.4831602501390365, c:0.5819587825972201, v:0.5279773289712818, s:0.35617825388908386, a:0.6041666666666666, M:0.5541955091521003, m:0.6041666666666666

9-struc2vec: h:0.5094342242694455, c:0.6214036091403012, v:0.5598756182857909, s:0.5279212594032288, a:0.6302083333333334, M:0.5539287352367849, m:0.6302083333333334

--------------------------------------------------------------------------------
0-struc2vec: h:0.49755447829939303, c:0.589779048751815, v:0.5397556492338375, s:0.5609790682792664, a:0.6614583333333334, M:0.5581876677047993, m:0.6614583333333334

1-struc2vec: h:0.4763897059316749, c:0.5711989823491131, v:0.5195041112487283, s:0.4695408344268799, a:0.6145833333333334, M:0.5128166205523695, m:0.6145833333333334

2-struc2vec: h:0.49548894484117467, c:0.614443826959431, v:0.5485920070463417, s:0.36415186524391174, a:0.5729166666666666, M:0.4466320406847721, m:0.5729166666666666

3-struc2vec: h:0.48347035653798054, c:0.5728885183633301, v:0.5243949245099317, s:0.5329945087432861, a:0.625, M:0.525562907219063, m:0.625

4-struc2vec: h:0.4736360524038507, c:0.5736241614972839, v:0.5188568797108738, s:0.4400547444820404, a:0.59375, M:0.47777922799342204, m:0.59375

5-struc2vec: h:0.5003249456755714, c:0.611724758757851, v:0.5504451023614251, s:0.4698299467563629, a:0.5833333333333334, M:0.4997308027357785, m:0.5833333333333334

6-struc2vec: h:0.4772855496880103, c:0.5968167656295843, v:0.5304001564549471, s:0.4719667136669159, a:0.5989583333333334, M:0.48911153713124206, m:0.5989583333333334

7-struc2vec: h:0.48450203911685125, c:0.5905662376457489, v:0.5323020919835336, s:0.3754310607910156, a:0.5, M:0.4037877990111514, m:0.5

8-struc2vec: h:0.46742968827095915, c:0.5801807105698162, v:0.5177376799286451, s:0.39689168334007263, a:0.5416666666666666, M:0.4634017047176277, m:0.5416666666666666

9-struc2vec: h:0.4614106645829788, c:0.5608205985389979, v:0.5062819235119121, s:0.4001505672931671, a:0.5677083333333334, M:0.4847218528425981, m:0.5677083333333334

--------------------------------------------------------------------------------
0-struc2vec: h:0.47299174515883896, c:0.5914796030996871, v:0.5256411460086241, s:0.514912486076355, a:0.59375, M:0.49660233337889886, m:0.59375

1-struc2vec: h:0.49655161429160144, c:0.60212725322685, v:0.5442668798646736, s:0.3740380108356476, a:0.5729166666666666, M:0.4665061380868896, m:0.5729166666666666

2-struc2vec: h:0.48114612565466536, c:0.5877798239802603, v:0.5291442033803593, s:0.39417317509651184, a:0.59375, M:0.4723912484956662, m:0.59375

3-struc2vec: h:0.4816473791633496, c:0.5858010124714157, v:0.5286429293991263, s:0.5578696727752686, a:0.53125, M:0.4950285218091975, m:0.53125

4-struc2vec: h:0.48953630726005964, c:0.5998427248935998, v:0.5391049098874255, s:0.4712804853916168, a:0.6041666666666666, M:0.5177323972620004, m:0.6041666666666666

5-struc2vec: h:0.4531444609694931, c:0.5583588136960719, v:0.5002795541982356, s:0.3254469931125641, a:0.6041666666666666, M:0.5145157334841995, m:0.6041666666666666

6-struc2vec: h:0.47362427352862096, c:0.5683268636693812, v:0.5166718252375384, s:0.4072040021419525, a:0.5989583333333334, M:0.47644590615635435, m:0.5989583333333334

7-struc2vec: h:0.4545413743006292, c:0.5670438926350271, v:0.5045979392796734, s:0.46917057037353516, a:0.5520833333333334, M:0.4723542917689542, m:0.5520833333333334

8-struc2vec: h:0.4831436293737369, c:0.5815653051886492, v:0.5278054182614265, s:0.37703800201416016, a:0.609375, M:0.5780662432006217, m:0.609375

9-struc2vec: h:0.47805362024888803, c:0.5769840084541453, v:0.5228804860852184, s:0.461688756942749, a:0.5885416666666666, M:0.49768637171388597, m:0.5885416666666666

--------------------------------------------------------------------------------
0-struc2vec: h:0.4658732114842117, c:0.5592035208205597, v:0.5082896370737178, s:0.4384147822856903, a:0.6197916666666666, M:0.5607292507146308, m:0.6197916666666666

1-struc2vec: h:0.4793772449581666, c:0.6005099390988622, v:0.5331497668000966, s:0.4483816623687744, a:0.5885416666666666, M:0.5444903748169443, m:0.5885416666666666

2-struc2vec: h:0.48023570513843555, c:0.6046581703091409, v:0.5353121615998246, s:0.4701225757598877, a:0.6041666666666666, M:0.5593897176151189, m:0.6041666666666666

3-struc2vec: h:0.4926268786800271, c:0.5938243536599785, v:0.538512597933436, s:0.496455579996109, a:0.5833333333333334, M:0.5230908464999001, m:0.5833333333333334

4-struc2vec: h:0.46604987742674536, c:0.5892714292326087, v:0.5204668485928481, s:0.2820484936237335, a:0.5833333333333334, M:0.5228171342345681, m:0.5833333333333334

5-struc2vec: h:0.5068739286107474, c:0.6003889703400765, v:0.5496824943366079, s:0.42333897948265076, a:0.578125, M:0.5385173251174539, m:0.578125

6-struc2vec: h:0.5068665504651471, c:0.614245954699497, v:0.5554138889031165, s:0.4082956314086914, a:0.609375, M:0.5595552455202689, m:0.609375

7-struc2vec: h:0.43913353306864383, c:0.5578942973199574, v:0.49144083323225607, s:0.4018367826938629, a:0.5989583333333334, M:0.5168176777501358, m:0.5989583333333334

8-struc2vec: h:0.4891008275973008, c:0.6128644412442983, v:0.5440325823202169, s:0.4306417405605316, a:0.609375, M:0.4860358504711611, m:0.609375

9-struc2vec: h:0.4898881064557064, c:0.6144580614104747, v:0.5451473549864251, s:0.5530611872673035, a:0.6302083333333334, M:0.552671778625771, m:0.6302083333333334

--------------------------------------------------------------------------------
0-struc2vec: h:0.47420521569698676, c:0.5764715010640191, v:0.520361378803468, s:0.4925088882446289, a:0.578125, M:0.4896180147701446, m:0.578125

1-struc2vec: h:0.44854495471929695, c:0.5812523926125508, v:0.5063478339702198, s:0.4038158655166626, a:0.578125, M:0.4566328668749308, m:0.578125

2-struc2vec: h:0.4984358636197886, c:0.5971276159655019, v:0.5433365103912625, s:0.40046289563179016, a:0.5989583333333334, M:0.5121402351585278, m:0.5989583333333334

3-struc2vec: h:0.4777643387958566, c:0.5877437089422841, v:0.5270781109168026, s:0.5079043507575989, a:0.5208333333333334, M:0.4657889734520933, m:0.5208333333333334

4-struc2vec: h:0.44805967033239985, c:0.536459817162768, v:0.4882910127783714, s:0.3934840261936188, a:0.515625, M:0.45046313501321994, m:0.515625

5-struc2vec: h:0.4841757109821486, c:0.5963456463333761, v:0.5344384455702286, s:0.3819563090801239, a:0.59375, M:0.5296290547403207, m:0.59375

6-struc2vec: h:0.48624895323167494, c:0.5896905063732553, v:0.5329972590835869, s:0.41646313667297363, a:0.6197916666666666, M:0.4982232757023059, m:0.6197916666666666

7-struc2vec: h:0.48917252709545656, c:0.6019193050433223, v:0.5397206337406292, s:0.373564749956131, a:0.609375, M:0.5358291269724264, m:0.609375

8-struc2vec: h:0.4934340912379965, c:0.5838135307950293, v:0.5348324621531811, s:0.4557882249355316, a:0.6145833333333334, M:0.5068348441989553, m:0.6145833333333334

9-struc2vec: h:0.49272882368966636, c:0.602891328144357, v:0.5422717616721454, s:0.3875443935394287, a:0.59375, M:0.5270817081893486, m:0.59375

--------------------------------------------------------------------------------
0-struc2vec: h:0.4910608379147101, c:0.5967928091086082, v:0.5387886094866674, s:0.4447661340236664, a:0.5260416666666666, M:0.4421832888001536, m:0.5260416666666666

1-struc2vec: h:0.48411084490967193, c:0.5788204960912345, v:0.5272462455569349, s:0.45181429386138916, a:0.5989583333333334, M:0.5584202488159858, m:0.5989583333333334

2-struc2vec: h:0.4890831062428997, c:0.5943875719174934, v:0.5366179737861769, s:0.4202035665512085, a:0.5520833333333334, M:0.4540095157835786, m:0.5520833333333334

3-struc2vec: h:0.4715507565912546, c:0.5741764833414542, v:0.5178278709732974, s:0.4192018508911133, a:0.578125, M:0.46732524195937103, m:0.578125

4-struc2vec: h:0.4250786353945883, c:0.5560138280242485, v:0.48180902022925676, s:0.1894596815109253, a:0.5520833333333334, M:0.43065306196409914, m:0.5520833333333334

5-struc2vec: h:0.49889031742690854, c:0.5987969231482762, v:0.544297093053872, s:0.3951127529144287, a:0.546875, M:0.44924754167750464, m:0.546875

6-struc2vec: h:0.4662931476117934, c:0.5802277693118377, v:0.5170584333460196, s:0.4470560550689697, a:0.578125, M:0.4806241069302215, m:0.578125

7-struc2vec: h:0.4955426944138075, c:0.5818336282086114, v:0.5352324861219429, s:0.38606369495391846, a:0.6145833333333334, M:0.5063784926943463, m:0.6145833333333334

8-struc2vec: h:0.46325056916535956, c:0.580555095340497, v:0.5153113984597002, s:0.4084758460521698, a:0.59375, M:0.5084082033162011, m:0.59375

9-struc2vec: h:0.5075991986515248, c:0.6100570817312847, v:0.5541318762373426, s:0.3968795835971832, a:0.546875, M:0.49000244592828396, m:0.546875

--------------------------------------------------------------------------------
0-struc2vec: h:0.48993738491311983, c:0.5868638939066124, v:0.5340382986834681, s:0.46327853202819824, a:0.6145833333333334, M:0.462442470072046, m:0.6145833333333334

1-struc2vec: h:0.49667212808893085, c:0.6178126114975185, v:0.5506586023358471, s:0.45021116733551025, a:0.609375, M:0.5072222425797477, m:0.609375

2-struc2vec: h:0.5061246443174693, c:0.630799215684981, v:0.5616260506198041, s:0.5641501545906067, a:0.5833333333333334, M:0.47886756417684256, m:0.5833333333333334

3-struc2vec: h:0.48444082786749937, c:0.5978415383090707, v:0.5352001636600173, s:0.5006802678108215, a:0.6354166666666666, M:0.49285310873633487, m:0.6354166666666666

4-struc2vec: h:0.4629276459801452, c:0.5633446771914796, v:0.5082234401133403, s:0.27213922142982483, a:0.6458333333333334, M:0.5779465429680374, m:0.6458333333333334

5-struc2vec: h:0.49847498254681516, c:0.5932230883336702, v:0.5417374574363736, s:0.4786362946033478, a:0.6458333333333334, M:0.5161985706278852, m:0.6458333333333334

6-struc2vec: h:0.4704092120452218, c:0.5884282408854897, v:0.52284146990447, s:0.44099724292755127, a:0.5520833333333334, M:0.40362834781666385, m:0.5520833333333334

7-struc2vec: h:0.502267669836821, c:0.6100794787202469, v:0.5509488626631924, s:0.4890773594379425, a:0.6354166666666666, M:0.5115316445643271, m:0.6354166666666666

8-struc2vec: h:0.4573199003180357, c:0.5511920739786265, v:0.4998871818131691, s:0.3287232518196106, a:0.5989583333333334, M:0.49872995518030394, m:0.5989583333333334

9-struc2vec: h:0.5068457648269541, c:0.6027328379625849, v:0.5506461380481608, s:0.4823801815509796, a:0.6302083333333334, M:0.5343903059803606, m:0.6302083333333334

--------------------------------------------------------------------------------
0-struc2vec: h:0.5125303109272225, c:0.6185948062802811, v:0.5605897766350019, s:0.4089334309101105, a:0.609375, M:0.5003879434616755, m:0.609375

1-struc2vec: h:0.48905713686125174, c:0.6024214940797832, v:0.5398521285283001, s:0.41445961594581604, a:0.5989583333333334, M:0.4808807148957904, m:0.5989583333333334

2-struc2vec: h:0.46833653462383495, c:0.574515874905164, v:0.5160208126881316, s:0.390838623046875, a:0.4791666666666667, M:0.4185184999039488, m:0.4791666666666667

3-struc2vec: h:0.49463104724937085, c:0.5920042667795576, v:0.5389548575732611, s:0.4261913299560547, a:0.5208333333333334, M:0.41948446699325426, m:0.5208333333333334

4-struc2vec: h:0.4687170013808088, c:0.5817217905335642, v:0.5191409445187234, s:0.44139623641967773, a:0.5104166666666666, M:0.395455046854877, m:0.5104166666666666

5-struc2vec: h:0.4998103373360687, c:0.5695044176855483, v:0.532386173072195, s:0.4608471393585205, a:0.5520833333333334, M:0.46700407875606437, m:0.5520833333333334

6-struc2vec: h:0.5035581203877011, c:0.6153883394909808, v:0.5538849384736154, s:0.39544129371643066, a:0.5677083333333334, M:0.44348860711664556, m:0.5677083333333334

7-struc2vec: h:0.4909612604560654, c:0.6178601184120139, v:0.5471492312508638, s:0.5387308597564697, a:0.5572916666666666, M:0.4311800928538346, m:0.5572916666666666

8-struc2vec: h:0.44088008092165015, c:0.5511211488475842, v:0.48987507154215704, s:0.41611599922180176, a:0.6197916666666666, M:0.5328243719071892, m:0.6197916666666666

9-struc2vec: h:0.5043165265927161, c:0.62166375681387, v:0.5568753044172817, s:0.4600345194339752, a:0.5885416666666666, M:0.45441707418721605, m:0.5885416666666666

--------------------------------------------------------------------------------
0-struc2vec: h:0.48181542055684035, c:0.602289016697239, v:0.5353582660574135, s:0.4832024574279785, a:0.59375, M:0.48543170713421047, m:0.59375

1-struc2vec: h:0.4524664259839807, c:0.5712174590510888, v:0.5049541678535708, s:0.35057052969932556, a:0.5833333333333334, M:0.4744855787909193, m:0.5833333333333334

2-struc2vec: h:0.45806442875524106, c:0.5605433328205951, v:0.5041488416381137, s:0.39934197068214417, a:0.5885416666666666, M:0.5017789944260532, m:0.5885416666666666

3-struc2vec: h:0.47357551164622075, c:0.5648180407455802, v:0.5151880845503912, s:0.4253402054309845, a:0.609375, M:0.542590626965627, m:0.609375

